subject,start,end,time,target
s0,4.18,9.683,5.503,exp
s0,9.683,11.274,1.591,s1
s0,11.274,12.59,1.316,exp
s0,12.59,13.89,1.3,s2
s0,13.89,16.96,3.07,exp
s0,16.96,19.205,2.245,s2
s0,19.205,20.938,1.733,exp
s0,20.938,23.522,2.584,wb
s0,23.522,24.886,1.364,tool
s0,24.886,26.73,1.844,s1
s0,26.73,28.212,1.482,s3
s0,28.212,30.9,2.688,s1
s0,30.9,32.886,1.986,wb
s0,32.886,35.966,3.08,s1
s0,35.966,46.526,10.56,wb
s0,46.526,60.35,13.824,s2
s0,60.35,64.445,4.095,tool
s0,64.445,70.481,6.036,s1
s0,70.481,72.96,2.479,exp
s0,72.96,78.285,5.325,s2
s0,78.285,79.229,0.944,s3
s0,79.229,80.896,1.667,wb
s0,80.896,85.413,4.517,tool
s0,85.413,86.512,1.099,wb
s0,86.512,87.577,1.065,tool
s0,87.577,90.22,2.643,s1
s0,90.22,93.447,3.227,wb
s0,93.447,98.21,4.763,s1
s0,98.21,103.76,5.55,wb
s0,103.76,105.24,1.48,tool
s0,105.24,106.097,0.857,wb
s0,106.097,108.081,1.984,s1
s0,108.081,110.454,2.373,tool
s0,110.454,116.975,6.521,s1
s0,2388.094,2396.118,8.024,s3
s0,2396.118,2396.62,0.502,wb
s0,2396.62,2398.233,1.613,wb
s0,2398.233,2399.54,1.307,s3
s0,2399.54,2400.466,0.926,wb
s0,2400.466,2402.626,2.16,wb
s0,2402.626,2406.26,3.634,exp
s0,2406.26,2412.877,6.617,exp
s0,2412.877,2416.041,3.164,wb
s0,2416.041,2421.814,5.773,s3
s0,2421.814,2424.808,2.994,exp
s0,2424.808,2427.048,2.24,wb
s0,2427.048,2429.325,2.277,exp
s0,2429.325,2434.8,5.475,s2
s0,2434.8,2435.948,1.148,wb
s0,2435.948,2442.691,6.743,exp
s0,2442.691,2445.647,2.956,s3
s0,2445.647,2458.612,12.965,exp
s0,2458.612,2461.583,2.971,tool
s0,2461.583,2465.174,3.591,s1
s0,2465.174,2466.638,1.464,tool
s0,2466.638,2471.33,4.692,wb
s0,2471.33,2472.049,0.719,tool
s0,2472.049,2474.882,2.833,tool
s0,2474.882,2485.973,11.091,wb
s0,2485.973,2487.421,1.448,tool
s0,2487.421,2496.143,8.722,wb
s0,2496.143,2504.421,8.278,tool
s1,4.18,10.514,6.334,tool
s1,10.514,13.28,2.766,exp
s1,13.28,17.143,3.863,tool
s1,17.143,17.812,0.669,exp
s1,17.812,18.707,0.895,tool
s1,18.707,20.9,2.193,exp
s1,20.9,22.123,1.223,tool
s1,22.123,23.623,1.5,exp
s1,23.623,26.108,2.485,tool
s1,26.108,26.939,0.831,exp
s1,26.939,31.048,4.109,tool
s1,31.048,33.384,2.336,wb
s1,33.384,34.093,0.709,tool
s1,34.093,47.817,13.724,wb
s1,47.817,49.237,1.42,tool
s1,49.237,50.1,0.863,wb
s1,50.1,51.609,1.509,wb
s1,51.609,54.288,2.679,s0
s1,54.288,54.975,0.687,tool
s1,54.975,56.62,1.645,s2
s1,56.62,57.508,0.888,tool
s1,57.508,60.79,3.282,s2
