subject,start,end,time,target
s0,647.605,648.092,0.487,tool
s0,648.48,663.501,15.021,tool
s0,663.52,665.105,1.585,wb
s0,665.15,673.95,8.8,tool
s0,674.03,674.757,0.727,wb
s0,675.998,677.08,1.082,exp
s0,678.101,685.827,7.726,tool
s0,686.552,689.546,2.994,s2
s0,690.087,691.004,0.917,wb
s0,1238.074,1241.925,3.851,tool
s0,1242.143,1244.267,2.124,s3
s0,1244.521,1246.683,2.162,tool
s0,1246.827,1252.473,5.646,s3
s0,1252.622,1253.815,1.193,s3
s0,1253.996,1266.23,12.234,s1
s0,1266.23,1267.043,0.813,s3
s0,1267.258,1271.207,3.949,wb
s0,1271.351,1288.166,16.815,s2
s1,648.837,652.267,3.43,s0
s1,652.29,654.464,2.174,wb
s1,654.914,665.273,10.359,wb
s1,668.42,674.777,6.357,wb
s1,675.003,675.301,0.298,s0
s1,675.677,678.409,2.732,exp
s1,678.811,682.815,4.004,wb
s1,683.154,683.421,0.267,wb
s1,683.785,690.694,6.909,wb
s1,1238.022,1242.521,4.499,tool
s1,1242.746,1245.064,2.318,s3
s1,1245.21,1248.412,3.202,tool
s1,1248.559,1255.107,6.548,s3
s1,1255.241,1256.604,1.363,s0
s1,1256.747,1258.706,1.959,s0
s1,1258.861,1259.714,0.853,s0
s1,1259.841,1261.646,1.805,tool
s1,1262.037,1264.911,2.874,tool
s1,1267.219,1272.477,5.258,wb
s1,1272.623,1286.517,13.894,s2
s1,1286.69,1287.745,1.055,wb
s2,647.6,649.537,1.937,s0
s2,649.543,653.639,4.096,wb
s2,653.639,655.189,1.55,tool
s2,655.448,664.756,9.308,wb
s2,664.967,666.223,1.256,tool
s2,666.545,667.787,1.242,tool
s2,668.657,677.458,8.801,wb
s2,677.663,680.229,2.566,s0
s2,680.521,686.525,6.004,s0
s2,686.739,688.924,2.185,s0
s2,689.176,690.948,1.772,tool
s2,1237.98,1238.655,0.675,wb
s2,1239.025,1241.35,2.325,tool
s2,1241.491,1244.915,3.424,wb
s2,1245.062,1245.791,0.729,tool
s2,1245.855,1248.186,2.331,wb
s2,1248.34,1249.774,1.434,tool
s2,1249.921,1255.843,5.922,wb
s2,1255.999,1264.097,8.098,wb
s2,1264.234,1268.261,4.027,s0
s2,1268.424,1273.307,4.883,wb
s2,1273.458,1278.823,5.365,s0
s2,1278.981,1283.24,4.259,s1
s2,1283.674,1288.049,4.375,s0
s3,647.553,650.716,3.163,s0
s3,650.944,652.608,1.664,s0
s3,652.663,653.778,1.115,tool
s3,653.843,655.743,1.9,s0
s3,655.778,664.201,8.423,wb
s3,664.201,665.614,1.413,s0
s3,665.868,676.561,10.693,wb
s3,676.585,679.688,3.103,s0
s3,680.04,686.599,6.559,wb
s3,686.852,690.123,3.271,s0
s3,690.412,690.769,0.357,wb
s3,1238.02,1240.329,2.309,s0
s3,1240.519,1246.012,5.493,tool
s3,1246.223,1255.5,9.277,s0
s3,1255.74,1274.794,19.054,s1
s3,1274.986,1282.325,7.339,s2
s3,1282.518,1287.813,5.295,s1
